stop_number,description,quantity,weight,square_footage,length,width,thickness
3,44 X 97 3/16 {Shape:00} 192.73<BR>Envision Door Glass- 1/2<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,192.7282118,29.94,97.1875,44,0.5
3,38 3/4 X 95 5/16 {Shape:00} 166.46<BR>1/2 Clear Tempered<BR>Polishing        Side: 2 3<BR>3101,3,499.3729655,80.01,95.3125,38.75,0.5
5,71 1/2 X 8 1/4 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,2,53.62041667,10,71.5,8.25,0.25
5,9 3/4 X 12 3/4 {Shape:00}<BR>1/4 Grey Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,1,5.6690625,3,12.75,9.75,0.25
5,27 1/4 X 55 {Shape:00} 16.86<BR>1/8 Clear Tempered<BR>3101,2,33.721875,21.78,55,27.25,0.125
14,23 X 29 {Shape:00} 15.01<BR>1/4 Clear Tempered<BR>3101,10,150.075,50,29,23,0.25
14,23 X 35 {Shape:00} 18.11<BR>1/4 Clear Tempered<BR>3101,6,108.675,36,35,23,0.25
20,78 X 102 {Shape:D} 179.01<BR>1/4 Vitro Mirror Annealed<BR>Digitized Pattern<BR>Polishing        Side: 1 2 3 4<BR>3101,1,179.01,55.25,102,78,0.25
20,68 X 102 {Shape:D} 156.06<BR>1/4 Vitro Mirror Annealed<BR>Digitized Pattern<BR>Outlet<BR>Polishing        Side: 1 2 3 4<BR>3101,1,156.06,48.17,102,68,0.25
20,86 X 104 {Shape:D} 201.24<BR>1/4 Vitro Mirror Annealed<BR>Digitized Pattern<BR>Polishing        Side: 1 2 3 4<BR>3101,1,201.24,62.11,104,86,0.25
21,48 3/4 X 60 7/8 {Shape:00}<BR>1/4 Sunguard SN-68 HT Heat Strengthen -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Heat Strength<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,1,133.9099479,21.53,60.875,48.75,0.25
27,42 1/8 X 23 1/8 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,2,88.10765625,14.66,42.125,23.125,0.25
27,24 1/8 X 23 1/8 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,2,50.52515625,8.66,24.125,23.125,0.25
27,51 5/8 X 21 1/4 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,2,99.21864583,15.88,51.625,21.25,0.25
27,12 3/4 X 21 1/4 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,2,24.61104167,6,21.25,12.75,0.25
27,12 3/4 X 71 3/4 {Shape:00}<BR>1/4 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/4 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,1,41.44822917,7,71.75,12.75,0.25
