MANIFESTID,TRUCKNO,DRIVER,ManIfestPool,SHIPDATE,Company,TRAILER,STATUS,ManIfest Warehouse,ManIfestName,ManIfestWeIght,CREATEDDATETIME,POSTINGSTARTDATETIME,POSTINGSTARTDATETIMETZID,POSTINGENDDATETIME,POSTINGENDDATETIMETZID,INVENTTRANSID,SALESID,STOPNUMBER,CustAccount,SCANNEDQTY,REASON,PACKINGSLIPID,SCANNEDERRORSQTY,LIneWeIght,PRODUCTDESCRIPTION,PICKEDQTY,PRODUCTINDICATOR,MANIFESTSTOPTYPE,ReferenceNumber,REMAINSALESPHYSICAL,DELIVERYNAME,BIllIngSQFTtotal,SaleAmount,ManIfestPostedDate,ShIp date From PS
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,597657689,SO10058536,42,16054-3,5,,SS12354691,0,366.0789795,30 15/16 X 83 15/16 {Shape:00} 73.22<BR>5/16 Firelite Standard Plus Lami Cut Size<BR>3101,0,M,0,W55743962,5,,93.35,11000,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599098136,SO10076704,42,16054-4,2,,SS12354692,0,225.8891867,30 13/16 X 81 1/16 {Shape:00}<BR>3/16 Solarban 60 VT Tempered -  1/2 Stainless Steel Spacer -  5/16 Firelite Standard Plus Lami Cut Size<BR>Seal        Dual Polysulfide<BR>3101,0,IG,0,W55975463,2,,36.44,5648,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599196342,SO10077622,40,15677,1,,SS12354676,0,80.99545573,79 1/2 X 30 1/8 {Shape:18} 81.00<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959555,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599202255,SO10077622,40,15677,1,,SS12354676,0,27.2653418,79 5/8 X 10 1/8 {Shape:23} 27.27<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988866,1,,6.67,106.86,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599202947,SO10077622,40,15677,1,,SS12354676,0,24.57246853,79 5/8 X 9 1/8 {Shape:19} 24.57<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988867,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599203093,SO10077622,40,15677,1,,SS12354676,0,80.659375,30 X 79 1/2 {Shape:00} 80.66<BR>Shower Glass- 3/8<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959556,1,,16.67,216.69,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599203376,SO10077622,40,15677,1,,SS12354676,0,80.72278646,30 X 79 9/16 {Shape:00} 80.72<BR>Shower Glass- 3/8<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959557,1,,16.67,216.69,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599203499,SO10077622,40,15677,1,,SS12354676,0,25.09706624,79 11/16 X 9 5/16 {Shape:03} 25.10<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988868,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599204497,SO10077622,40,15677,1,,SS12354676,0,81.09968831,79 7/16 X 30 3/16 {Shape:23} 81.10<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959558,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599204869,SO10077622,40,15677,1,,SS12354676,0,25.39404324,79 9/16 X 9 7/16 {Shape:04} 25.39<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988869,1,,5.56,98.29,14:54.0,9/22/2023
